ref,col_name
krk01,housetype
krk02a,waste
krk02b,trash
krk02c,stagnantwater
krk02d,nearstable
krk02e,ventilation
krk02f,cleanyard
krk02g,mediumyard
krk02h,kitchenoutside
krk02i,sharebedkitch
krk06,numroom
krk08,floor
krk09,outerwall
krk10,roof
hhid07,hhid07
krk05a,housesqm
hr01_A,own_house
hr01_B,own_otherbuilding
hr01_C,own_land
hr01_D1,own_livestock
hr01_D2,own_poultry
hr01_D3,own_tanamankeras
hr01_E,own_vehicles
hr01_F,own_hhappliance
hr01_G_x,own_fininstrument_7
hr01_H,own_receivables
hr01_J,own_jewelry
hr01_K1,own_furniture
hr01_K2,own_others
ks02a,ricebought
ipercap,ipercap
hhid14,hhid14
hr01_G_y,own_fininstrument_14
